username,password,email,expected,result,status
john123,Pass123$,john@example.com,true,true,PASS
null,pass123,john@example.com,false,false,PASS
alice,short,alice@mail.com,false,false,PASS
bob123,password,bobmail.com,false,false,PASS
carol,password,carol@domain.com,true,false,FAIL
john123,Pass123$,john@example.com,true,true,PASS
null,pass123,john@example.com,false,false,PASS
alice,short,alice@mail.com,false,false,PASS
bob123,password,bobmail.com,false,false,PASS
carol,password,carol@domain.com,true,false,FAIL
